,logFC,AveExpr,t,P.Value,adj.P.Val,B
E2F2,-1.68394349890788,2.13092231593939,-23.4670387617468,1.00778619366861e-69,1.18384522750229e-67,148.247155062058
FANCB,-1.17233531678458,1.16416699189538,-23.4412999183569,1.24658200634422e-69,1.45558976788697e-67,148.034917453446
GINS3,-1.29029083682659,2.35499271564039,-23.2025029262802,8.99456927967039e-69,1.04401250567603e-66,146.062518749997
SASS6,-1.37821143273628,2.72181519613651,-23.1282287337882,1.66515746769633e-68,1.92133553964961e-66,145.447821161432
FAM72D,-1.09798631281267,0.836683960784676,-22.8815718641093,1.29263738356782e-67,1.48273111644544e-65,143.402408754189
ZWILCH,-1.28732869991559,3.44844932485116,-22.8667926461104,1.46180844093537e-67,1.66697453790876e-65,143.279654939959
PBK,-2.46205168122084,3.34380658838902,-22.8293513831873,1.99641214472771e-67,2.26337423384827e-65,142.968575247906
NCAPD2,-1.6209225729019,5.31257895333985,-22.8251700555687,2.06714325944721e-67,2.33001696874107e-65,142.933826044983
MASTL,-1.31292538856072,3.78962776851744,-22.8163122630064,2.22538081587253e-67,2.49396125916749e-65,142.860206963711
CENPL,-1.21695236234691,2.65666637028924,-22.7175746578101,5.06658151531488e-67,5.64561940277944e-65,142.039044826722
FAM83D,-2.27045522034287,3.89878283437088,-22.6320545483723,1.03403466282341e-66,1.14566340483276e-64,141.32702319517
E2F1,-2.03598350591174,4.49216382822972,-22.5403427146219,2.22399997817927e-66,2.45016946748564e-64,140.562648869396
POLE2,-1.68540390533733,2.69558586041638,-22.5270122963079,2.48604133600408e-66,2.72347225011682e-64,140.451477567225
TOPBP1,-1.43641192175599,4.38198339325898,-22.4758684407917,3.81214670500319e-66,4.15289724846716e-64,140.02479387163
SPDL1,-1.27880203774095,3.10473028384282,-22.3669265020871,9.48452507083501e-66,1.02749021600713e-63,139.115066285387
PRIM1,-1.57331768811892,3.55873572739827,-22.3168823698471,1.44218131578657e-65,1.55373125181426e-63,138.696786379392
MTBP,-1.21786560510427,1.64510986584518,-22.2864287345524,1.86134500407392e-65,1.99429821865063e-63,138.442131049322
MCM7,-1.65561781650726,6.28232807344725,-22.239152302141,2.76643486066099e-65,2.9478404252945e-63,138.046627621197
POLA2,-1.17265394569009,3.66144951508542,-22.208340777876,3.58202618951406e-65,3.79616905953935e-63,137.788751763031
DSN1,-1.33415446538596,4.64404026076769,-22.1192618659527,7.56400498004524e-65,7.97287011410174e-63,137.042706669769
DNAJC9,-1.09067851375496,3.81174749344519,-22.1040155725471,8.59696255431648e-65,9.0129446133963e-63,136.914942923239
NDC1,-1.34506493307931,4.43134765642632,-22.0821805010163,1.03271296296595e-64,1.07689319667572e-62,136.731927580499
DONSON,-1.27496585057095,3.74911447323595,-22.0797250439724,1.05423182453262e-64,1.0934851371482e-62,136.711343865612
FANCA,-1.4304380053852,2.5088028378936,-21.8943412908474,5.01000992567835e-64,5.16905785982687e-62,135.155694637816
BORA,-1.28909713395234,2.59418183502123,-21.8478578821788,7.40935647602675e-64,7.60433954118535e-62,134.765136444114
VRK1,-1.31114445033243,3.92637079676933,-21.7989387225235,1.11871423021202e-63,1.14214280047824e-61,134.353902179058
RBL1,-1.34119156207847,2.93941675639702,-21.7664308718925,1.47122660850645e-63,1.49421452426436e-61,134.080509210741
RFC3,-1.48425224232658,3.96220891164758,-21.5725392497612,7.55199286859647e-63,7.63025186205343e-61,132.447922864582
C5orf34,-1.46476536796385,2.16706105694171,-21.5588203869254,8.47967686292809e-63,8.52338653747926e-61,132.332283814517
ATAD5,-1.40033201195273,2.13997858937301,-21.4752217289932,1.71851744302222e-62,1.71851744302222e-60,131.627262097769
TEDC2,-1.6638480798255,2.7438923344769,-21.4239531242533,2.65105833921106e-62,2.63753253135794e-60,131.194596094521
CCNE1,-2.13770027381255,3.04369217666016,-21.4012466123561,3.21241700115049e-62,3.17980363058044e-60,131.002899747916
CCNF,-1.49997393043477,3.24588946543191,-21.3761036881964,3.97390040425117e-62,3.91368979206555e-60,130.790583359996
GINS2,-1.97753606536337,3.26205812953241,-21.2741295626808,9.42211030933593e-62,9.23272115738948e-60,129.928929950707
DBF4B,-1.22803847853877,2.32108945983047,-21.2703578493125,9.72798791059606e-62,9.48478821283116e-60,129.897043345365
NUP205,-1.2516050692895,4.79707514528725,-21.2687753190149,9.85927002342026e-62,9.56496345555697e-60,129.883664055482
KNSTRN,-1.46190869657353,3.75283312285779,-21.2195347693581,1.49635226559929e-61,1.44449847421714e-59,129.467262796112
CKAP2,-1.49842994873284,4.14808762052267,-21.1674020275425,2.32787826651978e-61,2.23613922153378e-59,129.026186140927
FANCG,-1.24628575142049,3.92969330237013,-21.0916207945645,4.42711816396394e-61,4.23180412731847e-59,128.384632636294
MCM8,-1.46226888226446,2.90335310014357,-20.9775820954631,1.16571979588437e-60,1.10885541559733e-58,127.418325849232
NCAPD3,-1.3593588185938,3.56811703808214,-20.9236840479751,1.84280334985502e-60,1.74440122923169e-58,126.961261820802
TK1,-2.1674737511031,6.13786519234437,-20.8967969381672,2.31595522582353e-60,2.18169695186274e-58,126.733169703093
DNA2,-1.54286856569804,2.59911563674533,-20.8856516137494,2.54612235456656e-60,2.38698970740615e-58,126.638603760104
RECQL4,-1.92058113723404,3.83547411685541,-20.8061093493684,5.00812845387788e-60,4.67265573447937e-58,125.963423755936
SMC2,-1.4212991865279,3.73015094251113,-20.7132426004818,1.10396332682291e-59,1.02510880347841e-57,125.174528928566
E2F7,-1.73060059647998,1.51197856587223,-20.5754390967461,3.57159828473039e-59,3.30076618731008e-57,124.002709100367
GEN1,-1.11768981655972,2.18732424306379,-20.5490168474301,4.47405802481495e-59,4.11528922093828e-57,123.777866228848
NEMP1,-1.38290517329743,4.04953965213164,-20.4991036503327,6.84834850036205e-59,6.26961482427511e-57,123.352986489519
BRCA2,-1.17243230105888,1.59221361360504,-20.460605255084,9.5113466150493e-59,8.6668812613767e-57,123.025151349493
CSE1L,-1.22922721865887,6.27824666349103,-20.3295440764645,2.91229434477268e-58,2.62915461680867e-56,121.908306291752
FBXO45,-1.25038574316546,3.69034679726423,-20.2837234128081,4.30792875123667e-58,3.87118021424494e-56,121.517560772301
SKP2,-1.6303321860955,3.91947008524739,-20.2739300497116,4.68401564506871e-58,4.18983050820367e-56,121.434027082477
WDR62,-1.62791066616414,2.09433598770441,-20.244744571372,6.0112182648814e-58,5.35245461941494e-56,121.185047198397
LMNB2,-1.51332890200588,5.31074252966657,-20.1797373164963,1.04803878459074e-57,9.28943468159972e-56,120.630266559363
CDCA4,-1.48776675300707,4.46553163603451,-20.1636599962438,1.20254748112274e-57,1.06107130687301e-55,120.493016892784
TCF19,-1.59527049296034,4.31900895823284,-20.1329246920909,1.5642290020081e-57,1.37398493419631e-55,120.230586486035
MND1,-1.63310552621764,2.69304303248637,-20.0159053069398,4.25930319202318e-57,3.72450279123104e-55,119.230862222648
H2AFZ,-1.24854339889942,7.62116277400273,-19.9815229317445,5.71786909880217e-57,4.97760926011796e-55,118.936957883746
TBC1D31,-1.16734925108976,2.01786198578574,-19.8576881202964,1.65251717389686e-56,1.43218155071061e-54,117.877789145839
GMPS,-1.18456378116336,4.64146150831067,-19.8072085151456,2.5477087256501e-56,2.19824425443261e-54,117.445762342309
POLE,-1.29566835978233,3.1000955712724,-19.7931733673021,2.87364856864773e-56,2.46855273518197e-54,117.325615974776
POP1,-1.03748275564861,2.72586093561047,-19.6105654390686,1.37769569957517e-55,1.17314699308803e-53,115.761362465788
KPNB1,-1.05756880852249,6.76739377460275,-19.5960515940881,1.56060829988965e-55,1.32312442816731e-53,115.636951727893
